27,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +18 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:33:21, 21:34:23,1:02,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3394.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.403,6.76,492
28,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +16 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:34:30, 21:35:31,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3397.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.1315,6.48,468
29,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +14 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:35:35, 21:36:36,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3399,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.9446,6.65,477
30,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +12 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:36:40, 21:37:41,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3400.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,30.2267,6.76,459
31,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +10 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:37:44, 21:39:09,1:25,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3403.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,44.2466,6.99,695
32,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +8 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:39:12, 21:40:17,1:05,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3405,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,33.9163,6.68,509
33,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +6 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:40:21, 21:41:24,1:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3406.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.5989,6.64,486
34,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +4 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:41:28, 21:42:39,1:11,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3409.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,37.0007,7.01,583
35,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q +2 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:42:44, 21:43:45,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3411,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.8822,7.45,534
36,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q same X as run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:43:49, 21:44:51,1:02,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3412.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.2962,7.21,523
37,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -2 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:44:55, 21:45:57,1:02,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3415.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,32.5143,7.57,553
38,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -4 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:46:00, 21:47:06,1:06,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3417,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,34.8287,6.96,545
39,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -6 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:47:10, 21:48:13,1:03,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3418.999,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,33.1329,7.27,541
40,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -8 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:48:17, 21:49:18,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3421.001,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.5351,7.23,512
41,,,,,H2O,~50 um droplets ~6 mm away from nozzle; low Q -10 um in X from run 25,droplet dispenser,-160.0002,418.9998,2/26/2011, 21:49:21, 21:50:22,1:01,9367,50,120,150,3.17,2x3,,,,,,-11.7323,66.5942,-13.1,3423,-59629.999,5.68,,NO,,,SINE,50040,7,12,,,120Hz-Cont,4,31.8912,6.66,477
